 Frequency [Hz] - Resonance Curve	Volatge [V] - Resonance Curve	
1001.50	0.08	
1003.00	0.08	
1004.50	0.08	
1006.00	0.08	
1007.50	0.08	
1009.00	0.08	
1010.50	0.08	
1012.00	0.08	
1013.50	0.08	
1015.00	0.08	
1016.50	0.08	
1018.00	0.08	
1019.50	0.08	
1021.00	0.08	
1022.50	0.08	
1024.00	0.08	
1025.50	0.08	
1027.00	0.08	
1028.50	0.08	
1030.00	0.08	
1031.50	0.08	
1033.00	0.08	
1034.50	0.08	
1036.00	0.08	
1037.50	0.08	
1039.00	0.08	
1040.50	0.08	
1042.00	0.08	
1043.50	0.08	
1045.00	0.08	
1046.50	0.08	
1048.00	0.08	
1049.50	0.08	
1051.00	0.08	
1052.50	0.08	
1054.00	0.08	
1055.50	0.07	
1057.00	0.07	
1058.50	0.07	
1060.00	0.07	
1061.50	0.07	
1063.00	0.07	
1064.50	0.07	
1066.00	0.07	
1067.50	0.07	
1069.00	0.07	
1070.50	0.07	
1072.00	0.07	
1073.50	0.07	
1075.00	0.07	
1076.50	0.07	
1078.00	0.07	
1079.50	0.07	
1081.00	0.07	
1082.50	0.07	
1084.00	0.07	
1085.50	0.07	
1087.00	0.07	
1088.50	0.07	
1090.00	0.07	
1091.50	0.07	
1093.00	0.07	
1094.50	0.07	
1096.00	0.07	
1097.50	0.07	
1099.00	0.07	
1100.50	0.07	
1102.00	0.07	
1103.50	0.07	
1105.00	0.07	
1106.50	0.07	
1108.00	0.07	
1109.50	0.07	
1111.00	0.07	
1112.50	0.07	
1114.00	0.07	
1115.50	0.07	
1117.00	0.07	
1118.50	0.07	
1120.00	0.07	
1121.50	0.07	
1123.00	0.07	
1124.50	0.07	
1126.00	0.07	
1127.50	0.07	
1129.00	0.07	
1130.50	0.07	
1132.00	0.07	
1133.50	0.07	
1135.00	0.07	
1136.50	0.07	
1138.00	0.06	
1139.50	0.06	
1141.00	0.06	
1142.50	0.06	
1144.00	0.06	
1145.50	0.06	
1147.00	0.06	
1148.50	0.06	
1150.00	0.06	
1151.50	0.06	
1153.00	0.06	
1154.50	0.06	
1156.00	0.06	
1157.50	0.06	
1159.00	0.06	
1160.50	0.06	
1162.00	0.06	
1163.50	0.06	
1165.00	0.06	
1166.50	0.06	
1168.00	0.06	
1169.50	0.06	
1171.00	0.06	
1172.50	0.06	
1174.00	0.06	
1175.50	0.06	
1177.00	0.06	
1178.50	0.06	
1180.00	0.06	
1181.50	0.06	
1183.00	0.06	
1184.50	0.06	
1186.00	0.06	
1187.50	0.06	
1189.00	0.06	
1190.50	0.06	
1192.00	0.06	
1193.50	0.06	
1195.00	0.06	
1196.50	0.06	
1198.00	0.06	
1199.50	0.06	
1201.00	0.06	
1202.50	0.06	
1204.00	0.06	
1205.50	0.06	
1207.00	0.06	
1208.50	0.06	
1210.00	0.06	
1211.50	0.06	
1213.00	0.06	
1214.50	0.06	
1216.00	0.06	
1217.50	0.06	
1219.00	0.06	
1220.50	0.06	
1222.00	0.06	
1223.50	0.06	
1225.00	0.06	
1226.50	0.06	
1228.00	0.06	
1229.50	0.05	
1231.00	0.05	
1232.50	0.05	
1234.00	0.05	
