 Frequency [Hz] - Resonance Curve	Voltage [V] - Resonance Curve	
1001.50	0.04	
1003.00	0.04	
1004.50	0.04	
1006.00	0.04	
1007.50	0.04	
1009.00	0.04	
1010.50	0.04	
1012.00	0.04	
1013.50	0.04	
1015.00	0.04	
1016.50	0.04	
1018.00	0.04	
1019.50	0.04	
1021.00	0.04	
1022.50	0.04	
1024.00	0.04	
1025.50	0.04	
1027.00	0.04	
1028.50	0.04	
1030.00	0.04	
1031.50	0.04	
1033.00	0.04	
1034.50	0.04	
1036.00	0.04	
1037.50	0.04	
1039.00	0.04	
1040.50	0.04	
1042.00	0.04	
1043.50	0.04	
1045.00	0.04	
1046.50	0.04	
1048.00	0.04	
1049.50	0.04	
1051.00	0.04	
1052.50	0.05	
1054.00	0.05	
1055.50	0.05	
1057.00	0.05	
1058.50	0.05	
1060.00	0.05	
1061.50	0.05	
1063.00	0.05	
1064.50	0.05	
1066.00	0.05	
1067.50	0.05	
1069.00	0.05	
1070.50	0.05	
1072.00	0.05	
1073.50	0.05	
1075.00	0.05	
1076.50	0.05	
1078.00	0.05	
1079.50	0.05	
1081.00	0.05	
1082.50	0.05	
1084.00	0.05	
1085.50	0.05	
1087.00	0.05	
1088.50	0.05	
1090.00	0.05	
1091.50	0.05	
1093.00	0.05	
1094.50	0.05	
1096.00	0.05	
1097.50	0.05	
1099.00	0.05	
1100.50	0.05	
1102.00	0.05	
1103.50	0.05	
1105.00	0.05	
1106.50	0.05	
1108.00	0.05	
1109.50	0.05	
1111.00	0.05	
1112.50	0.05	
1114.00	0.05	
1115.50	0.05	
1117.00	0.05	
1118.50	0.05	
1120.00	0.05	
1121.50	0.05	
1123.00	0.05	
1124.50	0.05	
1126.00	0.05	
1127.50	0.05	
1129.00	0.05	
1130.50	0.05	
1132.00	0.05	
1133.50	0.05	
1135.00	0.05	
1136.50	0.05	
1138.00	0.05	
1139.50	0.05	
1141.00	0.05	
1142.50	0.05	
1144.00	0.05	
1145.50	0.05	
1147.00	0.05	
1148.50	0.05	
1150.00	0.05	
1151.50	0.05	
1153.00	0.05	
1154.50	0.05	
1156.00	0.05	
1157.50	0.05	
1159.00	0.05	
1160.50	0.05	
1162.00	0.05	
1163.50	0.05	
1165.00	0.06	
1166.50	0.06	
1168.00	0.06	
1169.50	0.06	
1171.00	0.06	
1172.50	0.06	
1174.00	0.06	
1175.50	0.06	
1177.00	0.06	
1178.50	0.06	
1180.00	0.06	
1181.50	0.06	
1183.00	0.06	
1184.50	0.06	
1186.00	0.06	
1187.50	0.06	
1189.00	0.06	
1190.50	0.06	
1192.00	0.06	
1193.50	0.06	
1195.00	0.06	
1196.50	0.06	
1198.00	0.06	
1199.50	0.06	
1201.00	0.06	
1202.50	0.06	
1204.00	0.06	
1205.50	0.06	
1207.00	0.06	
1208.50	0.06	
1210.00	0.06	
1211.50	0.06	
1213.00	0.06	
1214.50	0.06	
1216.00	0.06	
1217.50	0.06	
1219.00	0.06	
1220.50	0.06	
1222.00	0.06	
1223.50	0.06	
1225.00	0.06	
1226.50	0.06	
1228.00	0.06	
1229.50	0.06	
1231.00	0.06	
1232.50	0.06	
1234.00	0.06	
1235.50	0.06	
1237.00	0.06	
1238.50	0.06	
1240.00	0.06	
1241.50	0.06	
1243.00	0.06	
1244.50	0.06	
1246.00	0.06	
1247.50	0.06	
1249.00	0.06	
1250.50	0.06	
1252.00	0.06	
1253.50	0.06	
1255.00	0.07	
1256.50	0.07	
1258.00	0.07	
1259.50	0.07	
1261.00	0.07	
1262.50	0.07	
1264.00	0.07	
1265.50	0.07	
1267.00	0.07	
1268.50	0.07	
1270.00	0.07	
1271.50	0.07	
1273.00	0.07	
1274.50	0.07	
1276.00	0.07	
1277.50	0.07	
1279.00	0.07	
1280.50	0.07	
1282.00	0.07	
1283.50	0.07	
1285.00	0.07	
1286.50	0.07	
1288.00	0.07	
1289.50	0.07	
1291.00	0.07	
1292.50	0.07	
1294.00	0.07	
1295.50	0.07	
1297.00	0.07	
1298.50	0.07	
1300.00	0.07	
1301.50	0.07	
1303.00	0.07	
1304.50	0.07	
1306.00	0.07	
1307.50	0.07	
1309.00	0.07	
1310.50	0.07	
1312.00	0.07	
1313.50	0.07	
1315.00	0.07	
1316.50	0.07	
1318.00	0.07	
1319.50	0.07	
1321.00	0.07	
1322.50	0.07	
1324.00	0.07	
1325.50	0.07	
1327.00	0.08	
1328.50	0.08	
1330.00	0.08	
1331.50	0.08	
1333.00	0.08	
1334.50	0.08	
1336.00	0.08	
1337.50	0.08	
1339.00	0.08	
1340.50	0.08	
1342.00	0.08	
1343.50	0.08	
1345.00	0.08	
1346.50	0.08	
1348.00	0.08	
1349.50	0.08	
1351.00	0.08	
1352.50	0.08	
1354.00	0.08	
1355.50	0.08	
1357.00	0.08	
1358.50	0.08	
1360.00	0.08	
1361.50	0.08	
1363.00	0.08	
1364.50	0.08	
1366.00	0.08	
1367.50	0.08	
1369.00	0.08	
1370.50	0.08	
1372.00	0.08	
1373.50	0.08	
1375.00	0.08	
1376.50	0.08	
1378.00	0.08	
1379.50	0.08	
1381.00	0.08	
1382.50	0.08	
1384.00	0.08	
1385.50	0.08	
1387.00	0.09	
1388.50	0.09	
1390.00	0.09	
1391.50	0.09	
1393.00	0.09	
1394.50	0.09	
1396.00	0.09	
1397.50	0.09	
1399.00	0.09	
1400.50	0.09	
1402.00	0.09	
1403.50	0.09	
1405.00	0.09	
1406.50	0.09	
1408.00	0.09	
1409.50	0.09	
1411.00	0.09	
1412.50	0.09	
1414.00	0.09	
1415.50	0.09	
1417.00	0.09	
1418.50	0.09	
1420.00	0.09	
1421.50	0.09	
1423.00	0.09	
1424.50	0.09	
1426.00	0.09	
1427.50	0.09	
1429.00	0.09	
1430.50	0.09	
1432.00	0.09	
1433.50	0.09	
1435.00	0.09	
1436.50	0.10	
1438.00	0.10	
1439.50	0.10	
1441.00	0.10	
1442.50	0.10	
1444.00	0.10	
1445.50	0.10	
1447.00	0.10	
1448.50	0.10	
1450.00	0.10	
1451.50	0.10	
1453.00	0.10	
1454.50	0.10	
1456.00	0.10	
1457.50	0.10	
1459.00	0.10	
1460.50	0.10	
1462.00	0.10	
1463.50	0.10	
1465.00	0.10	
1466.50	0.10	
1468.00	0.10	
1469.50	0.10	
1471.00	0.10	
1472.50	0.10	
1474.00	0.10	
1475.50	0.10	
1477.00	0.10	
1478.50	0.11	
1480.00	0.11	
1481.50	0.11	
1483.00	0.11	
1484.50	0.11	
1486.00	0.11	
1487.50	0.11	
1489.00	0.11	
1490.50	0.11	
1492.00	0.11	
1493.50	0.11	
1495.00	0.11	
1496.50	0.11	
1498.00	0.11	
1499.50	0.11	
1501.00	0.11	
1502.50	0.11	
1504.00	0.11	
1505.50	0.11	
1507.00	0.11	
1508.50	0.11	
1510.00	0.11	
1511.50	0.11	
1513.00	0.11	
1514.50	0.12	
1516.00	0.12	
1517.50	0.12	
1519.00	0.12	
1520.50	0.12	
1522.00	0.12	
1523.50	0.12	
1525.00	0.12	
1526.50	0.12	
1528.00	0.12	
1529.50	0.12	
1531.00	0.12	
1532.50	0.12	
1534.00	0.12	
1535.50	0.12	
1537.00	0.12	
1538.50	0.12	
1540.00	0.12	
1541.50	0.12	
1543.00	0.12	
1544.50	0.12	
1546.00	0.13	
1547.50	0.13	
1549.00	0.13	
1550.50	0.13	
1552.00	0.13	
1553.50	0.13	
1555.00	0.13	
1556.50	0.13	
1558.00	0.13	
1559.50	0.13	
1561.00	0.13	
1562.50	0.13	
1564.00	0.13	
1565.50	0.13	
1567.00	0.13	
1568.50	0.13	
1570.00	0.13	
1571.50	0.13	
1573.00	0.14	
1574.50	0.14	
1576.00	0.14	
1577.50	0.14	
1579.00	0.14	
1580.50	0.14	
1582.00	0.14	
1583.50	0.14	
1585.00	0.14	
1586.50	0.14	
1588.00	0.14	
1589.50	0.14	
1591.00	0.14	
1592.50	0.14	
1594.00	0.14	
1595.50	0.14	
1597.00	0.14	
1598.50	0.15	
1600.00	0.15	
1601.50	0.15	
1603.00	0.15	
1604.50	0.15	
1606.00	0.15	
1607.50	0.15	
1609.00	0.15	
1610.50	0.15	
1612.00	0.15	
1613.50	0.15	
1615.00	0.15	
1616.50	0.15	
1618.00	0.15	
1619.50	0.16	
1621.00	0.16	
1622.50	0.16	
1624.00	0.16	
1625.50	0.16	
1627.00	0.16	
1628.50	0.16	
1630.00	0.16	
1631.50	0.16	
1633.00	0.16	
1634.50	0.16	
1636.00	0.16	
1637.50	0.16	
1639.00	0.17	
1640.50	0.17	
1642.00	0.17	
1643.50	0.17	
1645.00	0.17	
1646.50	0.17	
1648.00	0.17	
1649.50	0.17	
1651.00	0.17	
1652.50	0.17	
1654.00	0.17	
1655.50	0.17	
1657.00	0.18	
1658.50	0.18	
1660.00	0.18	
1661.50	0.18	
1663.00	0.18	
1664.50	0.18	
1666.00	0.18	
1667.50	0.18	
1669.00	0.18	
1670.50	0.18	
1672.00	0.19	
1673.50	0.19	
1675.00	0.19	
1676.50	0.19	
1678.00	0.19	
1679.50	0.19	
1681.00	0.19	
1682.50	0.19	
1684.00	0.19	
1685.50	0.19	
1687.00	0.20	
1688.50	0.20	
1690.00	0.20	
1691.50	0.20	
1693.00	0.20	
1694.50	0.20	
1696.00	0.20	
1697.50	0.20	
1699.00	0.20	
1700.50	0.21	
1702.00	0.21	
1703.50	0.21	
1705.00	0.21	
1706.50	0.21	
1708.00	0.21	
1709.50	0.21	
1711.00	0.21	
1712.50	0.22	
1714.00	0.22	
1715.50	0.22	
1717.00	0.22	
1718.50	0.22	
1720.00	0.22	
1721.50	0.22	
1723.00	0.22	
1724.50	0.23	
1726.00	0.23	
1727.50	0.23	
1729.00	0.23	
1730.50	0.23	
1732.00	0.23	
1733.50	0.23	
1735.00	0.24	
1736.50	0.24	
1738.00	0.24	
1739.50	0.24	
1741.00	0.24	
1742.50	0.24	
1744.00	0.24	
1745.50	0.25	
1747.00	0.25	
1748.50	0.25	
1750.00	0.25	
1751.50	0.25	
1753.00	0.25	
1754.50	0.26	
1756.00	0.26	
1757.50	0.26	
1759.00	0.26	
1760.50	0.26	
1762.00	0.26	
1763.50	0.27	
1765.00	0.27	
